,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
102,afrobeat,Kanou,5enPH2P00j3xvcXqKH7ayo,1,-14.793,87.27,233987,0.466,1,0.162,0.05,0.909,0.72
103,afrobeat,Sana,42IYxLRKGbjMXDy8yLNT7c,0,-10.007,134.023,239267,0.89,7,0.00357,0.0329,0.887,0.699
104,afrobeat,Roll It,4AqQIE3qpRV9T30NtvMnHP,20,-2.311,115.0,257720,0.806,8,0.0,0.0829,0.974,0.954
105,afrobeat,Vuli Ndlela - Original Album Version,04p7jtRJdhQUB1UeQsMGBx,30,-4.253,105.973,261800,0.919,5,0.0423,0.0632,0.704,0.776
106,afrobeat,Rosanna,37BTh5g05cxBIRYMbw8g2T,71,-13.035,78.442,331200,0.512,7,0.000139,0.0358,0.739,0.384
107,afrobeat,Kele,0JTefbFPZDuYOv2syMKElS,0,-10.001,189.002,188653,0.57,5,0.0207,0.103,0.335,0.654
108,afrobeat,Caro (feat. Wizkid),6hs6oVzr6Zt9YgQaqqnjGm,34,-1.673,122.075,246760,0.947,9,2.71e-05,0.0642,0.908,0.702
109,afrobeat,Sama Dio,1Z3wvjgwGoAhVFqfJ912lA,4,-14.296,83.209,313000,0.45,11,1.55e-06,0.0884,0.229,0.479
110,afrobeat,Beautiful Onyinye,3YlkOxWW57K0OpL7ZVVGqj,39,-4.725,99.96,292107,0.793,6,8.11e-06,0.057,0.896,0.709
111,afrobeat,Alkhar Dessouf,3awU4I6zcygJQBa5nzE3wv,0,-13.142,85.071,293800,0.179,0,0.000456,0.09,0.366,0.732
112,afrobeat,Azonto,3LZMPBsDMfp9Z2bO60Gm8a,0,-5.83,130.059,170808,0.916,7,0.0,0.0534,0.666,0.634
113,afrobeat,Bankiero,1ObpdyeflH3vPflN3lEpiS,0,-5.825,130.138,218267,0.98,0,0.154,0.034,0.878,0.687
114,afrobeat,N’Teri,2szTdqaH9OyFrNdb952dzV,0,-10.799,99.905,276413,0.495,9,0.017,0.0297,0.471,0.651
115,afrobeat,Yori Yori,4WJ9gxU84Kv9TSXWfGVpRC,0,-1.582,102.936,218427,0.793,9,0.0,0.157,0.948,0.675
116,afrobeat,Dounia,1V3YW4HwVV4CG2cJVlsKII,30,-12.36,88.867,380613,0.433,4,0.00278,0.0586,0.61,0.565
117,afrobeat,Give It to Me (feat. Mugeez),6gWrC3vfJmWANgwuoHbYDF,28,-4.369,115.986,274537,0.801,10,0.0,0.0776,0.872,0.871
118,afrobeat,Zombie,2SGfKTYnLLX1UCEA84O6IZ,23,-3.799,130.374,744255,0.965,2,0.013,0.214,0.588,0.644
119,afrobeat,Laban,5aVcpXJ0uitmOJqdZYs6DE,0,-7.799,104.972,448960,0.754,5,0.00124,0.0626,0.678,0.52
120,afrobeat,Senegal Fast Food,6DUzRepv6NcNAc5YyR2W01,0,-6.607,82.006,259107,0.911,0,2.66e-05,0.0347,0.877,0.635
121,afrobeat,Ki dit mié,2JpZm1eGQGIeOe7tSld4qQ,0,-2.217,127.957,177400,0.948,0,0.0,0.0583,0.957,0.744
122,afrobeat,Welcome to Mali,2LdlxzJLl1bUmjWVb2nP3P,0,-5.227,106.032,200013,0.895,2,0.000775,0.034,0.751,0.656
123,afrobeat,Imidiwan Afrik Tendam,2INZBC7akqk0KQpwcsSAa7,13,-8.674,154.825,210227,0.595,9,0.0,0.0303,0.63,0.458
124,afrobeat,Asamkpokoto,7Ksvz2NN997upyzAM9maSq,27,-4.29,116.013,270880,0.814,6,0.000329,0.0378,0.852,0.795
125,afrobeat,Zen,2he169BxArR5AMYlgJIAXr,20,-16.336,126.193,274893,0.458,5,0.0561,0.117,0.861,0.681
126,afrobeat,Diamonds on the Soles of Her Shoes,71GvlH0VdeClloLIkHrAVu,64,-9.724,110.64,349280,0.677,5,0.00121,0.0356,0.876,0.791
127,afrobeat,Moziki,3UIn5t7o6zz1vdJJfeb9Yh,7,-7.371,125.154,295653,0.885,10,0.00159,0.127,0.931,0.692
128,afrobeat,Sonkolon,1L7b7pfGmRmNoGDpXG3OJa,0,-12.131,104.007,211747,0.373,6,0.0514,0.0384,0.59,0.754
129,afrobeat,Pata Pata,4S4dCACmtuPWbhvMSfDXqN,2,-7.278,126.038,180147,0.788,3,0.0,0.0382,0.974,0.818
