,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
942,bossanova,Solidao,0fUBBvaPWUhgaqCV5QKAPp,0,-9.085,85.203,188627,0.217,8,0.0,0.0258,0.287,0.401
943,bossanova,Desafinado,48HGxgXEqOJNCTRiah4yGC,0,-9.286,86.987,193463,0.595,11,0.000426,0.0431,0.691,0.504
944,bossanova,A Namorada - Girlfriend,6DnbBmG7FwW3zHyRwyLGey,0,-14.293,136.514,212933,0.226,4,0.00115,0.0397,0.449,0.601
945,bossanova,Canção Pequenina,1lV6VTocQVqojFU9NU7maG,0,-11.642,145.997,111067,0.365,5,0.0,0.0333,0.607,0.578
946,bossanova,Lazy River,4icebmugsUJ8aEvNtpHTzH,2,-19.093,78.332,141504,0.278,0,0.875,0.0536,0.857,0.624
947,bossanova,Sublime Tortura,3IrkLFBJvOsBTceUQ7cnEH,4,-14.921,70.244,189933,0.0938,10,0.0,0.0342,0.161,0.453
948,bossanova,Olhos Nos Olhos,1Cv5zlU8GU8WS5rpkmiRZ3,0,-17.061,175.499,222013,0.168,6,0.894,0.0345,0.0476,0.341
949,bossanova,Mulher Passarinho,0UPd7HqdjLBgOCtLIaKQVT,0,-13.735,147.321,154560,0.231,7,0.0,0.0482,0.192,0.399
950,bossanova,Rio de Inspiração,2geg9d8MWE8Gi0Sraec52p,0,-8.125,171.974,213947,0.526,9,0.035,0.0369,0.745,0.652
951,bossanova,Razão do Amor,4co1FwJNeTMRUyZ4Ad2mwh,0,-10.55,139.8,201800,0.366,7,0.0,0.0328,0.391,0.425
952,bossanova,So Danco Samba,2vdiEq7UjuSWZjhUCw0obZ,0,-16.171,81.821,220333,0.259,0,0.332,0.0381,0.751,0.609
953,bossanova,Sonho de Um Carnaval,4P9stZZEzc1dRsktEyOfVM,11,-7.962,101.032,176573,0.683,9,0.757,0.045,0.406,0.428
954,bossanova,Samba Em Preludio,3aJ2jrhLVDxhYO6eopAOdK,0,-8.961,138.003,206080,0.49,2,0.0,0.0313,0.386,0.506
955,bossanova,Ficar,5vxyNj8kTdUQkOU3KEXT1z,0,-5.866,179.992,244827,0.726,4,0.001,0.0313,0.737,0.553
956,bossanova,Chora Tua Tristeza (Cry Your Sadness),22AYzw1zZgf7p4ZUjZCgzt,0,-15.11,99.798,157267,0.248,4,5.15e-06,0.042,0.854,0.606
957,bossanova,Samba da Rosa,4jLIEXcCB5jeo66t53tP4f,15,-6.671,119.757,243307,0.747,11,1e-06,0.0746,0.415,0.318
958,bossanova,Canto de Ossanha,2qvDTgPPZLPE2VRq71P9b7,15,-8.15,109.784,157947,0.643,7,0.663,0.0313,0.436,0.477
959,bossanova,Close to you,5sanom0yL4NAd26HvShw7r,0,-19.372,163.845,198120,0.353,5,0.703,0.118,0.26,0.429
960,bossanova,Inútil Paisagem,4SvrcCGSJrWlryWbPNUNML,18,-13.553,93.006,152133,0.295,2,0.139,0.0261,0.169,0.534
961,bossanova,"Mulher, Sempre Mulher",4HDAcjixaWf4pwvAlOzZyK,0,-10.22,96.707,120067,0.373,6,0.0,0.0411,0.687,0.691
962,bossanova,É Preciso Perdoar,02CPTzD7WKjKplja2gXfV7,0,-5.787,113.324,254680,0.89,2,0.0149,0.0396,0.732,0.43
963,bossanova,Maldade,01bTsmrIaLeFFNMt1J6Dx9,0,-6.099,89.693,173240,0.615,7,1.64e-05,0.0372,0.519,0.561
964,bossanova,Eu Voce,7s3fjavelvzZtmoIZgv7cx,0,-14.742,108.831,144520,0.321,7,0.0,0.0545,0.738,0.636
965,bossanova,Acaçá,444U0DRUO2IOmfKVqkX5LF,29,-10.062,80.216,162053,0.248,4,1.39e-05,0.0443,0.327,0.561
966,bossanova,Nó Cego,0oCkjBYVtFetygClBlbUUG,7,-15.28,71.402,217613,0.196,9,0.0372,0.0273,0.229,0.491
967,bossanova,Lamento No Morro,62J6QlAlWGCdHrwgh4lJjZ,1,-8.566,106.138,128120,0.502,9,2.26e-05,0.0526,0.424,0.593
