Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
acoustic,Hey Ya - solo version,6QeLUyIfNHCJhEMSPGwDgi,57,-13.644,140.006,298801,0.184,1,0.0,0.038,0.357,0.661
acoustic,Lego House,53Pgsvu3qSYO2aXt5J2vcL,59,-8.48,159.701,185093,0.637,11,0.0,0.0992,0.565,0.592
acoustic,Black Flies,6zZGFzAUk3g2Uae9fLYlDl,1,-13.039,132.063,381507,0.35,8,0.00405,0.0291,0.112,0.573
acoustic,Perfect for Me,6bSY42jHs2rQoeAAlqxilu,46,-10.483,136.084,215600,0.304,4,3.8e-06,0.0311,0.3,0.597
acoustic,We Found Love,0gkX5pMlSoxdxgAjJFek74,0,-25.034,198.941,174367,0.0275,1,3.03e-05,0.042,0.315,0.436
acoustic,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,82,-8.322,150.953,242187,0.457,11,0.0,0.0468,0.718,0.686
acoustic,Heartbeats,7BzhqmRj3iOZXqMHqiifHr,9,-16.746,87.485,160240,0.15,3,0.731,0.0347,0.316,0.552
acoustic,Swing Life Away,6GrrkiCRO3HYdgRpO4eKEL,58,-6.961,184.866,200067,0.426,6,0.0,0.043,0.789,0.477
afrobeat,Click Song Number 1,3Wbp6ojYV5AJCqvEG9xzm3,0,-8.415,91.744,138547,0.638,9,9.78e-06,0.0435,0.895,0.696
afrobeat,Shakara (Oloje),5tC5KBeZZ6CfdI60mHexpC,24,-7.436,119.429,806587,0.689,1,0.0489,0.0425,0.618,0.658
afrobeat,No One Like You,2AuLgTuJqETu6LQsfvK3dd,0,-2.974,102.021,265440,0.873,8,0.0,0.212,0.947,0.813
afrobeat,Machengoidi,5O5RoaM2fwz0tHOtJRjez8,0,-12.151,136.82,305893,0.261,11,0.737,0.0371,0.241,0.603
afrobeat,Aïcha,0MEn5wVttIHOLTgRQtWcOv,0,-6.135,96.003,312800,0.737,7,1.17e-05,0.0365,0.663,0.754
afrobeat,Ha Po Zamani,3r9K3hDcw6LCQoRkw64toA,0,-8.893,168.166,177707,0.617,4,0.0,0.0457,0.914,0.538
afrobeat,Open & Close,2RizvNtmhG94OwIFxo6gVE,23,-8.64,106.07,893880,0.77,10,0.481,0.0802,0.706,0.701
afrobeat,Sowa,4jKe4NnyGnDKb59svENink,1,-9.94,106.024,188187,0.36,9,0.0,0.0994,0.306,0.843
afrobeat,Eminado (feat. Don Jazzy),3Gxold2xHisD55irEJ7du7,43,-1.383,118.939,230253,0.962,5,0.0,0.0573,0.924,0.709
afrobeat,Nwa Baby Ashawo - Remix,0F65Zx4VkfcdOO3Qvmv2N4,29,-8.876,100.615,259307,0.86,1,0.267,0.071,0.963,0.755
afrobeat,Fire Dance,1AOY3qoxCN6wwhQjQRRcQX,0,-7.748,106.34,490320,0.906,10,0.349,0.0492,0.861,0.774
afrobeat,Tenere Taqhim Tossam - feat. Tunde Adebimpe & Kyp Malone,1Ki0itGfXGmStQnPxhimY0,0,-8.199,98.814,253453,0.794,11,0.00174,0.106,0.871,0.754
afrobeat,Soldier,65dhHbrvdm2I1ZeDJkhE3z,0,-6.845,140.041,263853,0.602,4,2.57e-06,0.0441,0.806,0.815
afrobeat,Johnny,5eDb1qBsq3rElJLJMo46FB,37,-6.385,125.084,236013,0.711,5,0.000229,0.194,0.864,0.848
afrobeat,Akwaaba,37pTPl9fc7hgSI7cO5GbOs,0,-6.465,100.018,166107,0.953,9,2.42e-06,0.121,0.788,0.769
afrobeat,Moziki,3UIn5t7o6zz1vdJJfeb9Yh,7,-7.371,125.154,295653,0.885,10,0.00159,0.127,0.931,0.692
afrobeat,Sexy And I Know It,70Vdd1gx5tn84jkAU31ASv,67,-4.225,130.021,199480,0.861,7,0.0,0.316,0.795,0.707
afrobeat,Tease Me / Bad Guys,0c5mtgPNP2jBk9fdVtZ3lf,38,-2.305,104.427,188817,0.951,9,0.0,0.261,0.93,0.613
afrobeat,Mouneïssa,01Xh69x5oCaVjoIB6odY6j,36,-13.038,98.081,343093,0.173,0,0.0,0.0326,0.615,0.733
afrobeat,Tabara,1jIkbwboZBGhyC16T5j4gf,0,-9.217,92.974,200653,0.347,9,0.884,0.0324,0.525,0.699
afrobeat,Ki dit mié,2JpZm1eGQGIeOe7tSld4qQ,0,-2.217,127.957,177400,0.948,0,0.0,0.0583,0.957,0.744
afrobeat,Be Mankan,2nOA0eWaCLdMuRQ0UVitoJ,0,-12.297,123.362,306960,0.206,4,0.38,0.0416,0.483,0.583
afrobeat,Oualahila Ar Tesninam,4AdEId7iTSaADarHjqIXvT,0,-11.633,119.997,229787,0.698,9,0.00297,0.0398,0.752,0.762
afrobeat,Kanou,77NxWmxauHL0k1Lo5TOliE,16,-8.447,135.181,310453,0.499,0,0.813,0.0325,0.726,0.571
afrobeat,Water No Get Enemy,6jzbUvXYVbH6NrUS3WRMoL,4,-7.544,90.805,660480,0.93,10,0.0397,0.0528,0.902,0.641
afrobeat,Sabali,4oA5weCkztLLsRdcawlvMF,28,-12.073,107.028,308360,0.537,0,0.167,0.0426,0.678,0.646
afrobeat,N'tesse,49MuxK9wgX55vKeTdohEzc,0,-8.043,104.065,273280,0.664,7,0.00328,0.0328,0.871,0.802
afrobeat,Soul Makossa,4JaOd0NUBTckYFZMguuY7M,1,-3.8,115.014,264307,0.826,0,0.00234,0.149,0.775,0.831
afrobeat,Savane,2waQKyhYkF4GX2Qc1OsmrD,0,-10.45,135.866,463267,0.279,4,0.134,0.0615,0.509,0.776
afrobeat,Wavin' Flag - Coca-Cola® Celebration Mix,6WFQsZZa81anp9BkqZMyTb,56,-4.192,151.869,212507,0.791,0,0.0,0.0644,0.615,0.583
afrobeat,Beng Beng Beng,1dfXWdnp0hlV3nmyc2stei,0,-7.83,126.026,286000,0.879,5,0.00218,0.072,0.912,0.756
afrobeat,Yo Le Le (Fulani Groove),7JF07Vf8T7zS7cdsVIfxR3,20,-10.875,100.792,384173,0.679,10,0.367,0.0611,0.574,0.547
afrobeat,On The Floor - Radio Edit,7Hv89f7Dpm5Hce1XkBbjQZ,7,-6.306,129.998,230907,0.68,11,0.0009,0.0932,0.462,0.765
afrobeat,Aboki,4NT11FDdcEUDyFWS2n1eKw,0,-3.873,122.003,216653,0.834,9,0.0,0.0716,0.756,0.803
afrobeat,Zombie,2SGfKTYnLLX1UCEA84O6IZ,23,-3.799,130.374,744255,0.965,2,0.013,0.214,0.588,0.644
afrobeat,Mali Denhou,0QoQNIeyb7RDKl2xzqIxpm,21,-8.688,164.553,290800,0.504,10,0.0438,0.0617,0.865,0.501
afrobeat,Todii,3bxYImHNl1TiQKK4iTy5vy,0,-7.645,191.906,412933,0.67,7,0.0032,0.0882,0.773,0.541
afrobeat,Ada Owerri,3gSb5v1yMCWJ9hah3hMdmf,15,-12.277,108.353,267627,0.611,7,2.09e-05,0.136,0.906,0.55
afrobeat,Naija Baby,6XWr8TOIRFl29jTluMfCDJ,27,-9.232,130.017,252186,0.831,7,0.000463,0.0569,0.95,0.74
afrobeat,Tchamantché,4iEBmWl1OzPIfNbZAV378G,17,-15.219,124.085,255653,0.355,9,1.06e-05,0.0862,0.933,0.711
afrobeat,Chérie Coco - feat. Soprano,1XqTT98Z08a2eOPCxyNr0H,31,-3.822,127.994,216587,0.964,0,0.0,0.232,0.68,0.834
afrobeat,Warbé,7fm6LShF3yl3pevyUtq67v,0,-17.785,148.516,291227,0.247,4,0.872,0.045,0.373,0.601
afrobeat,Aicha,6qMigKASABJSDFTiVWmvQJ,0,-8.951,168.667,258707,0.633,7,1.21e-05,0.0925,0.378,0.502
afrobeat,Tajabone,2RgMZ2GGe2nsQnY4sMs4i8,0,-11.782,158.198,241533,0.263,9,7.97e-05,0.0314,0.314,0.399
afrobeat,Good Or Bad (Oway),1jqBgNjP5yfjCrAgJZE0be,30,-4.646,107.958,245627,0.842,7,4.63e-05,0.0464,0.936,0.784
afrobeat,Allez Ola Olé,1xSl7uE9De7aLDEGXahCJB,52,-4.706,129.024,172746,0.934,11,1.08e-06,0.06,0.721,0.642
afrobeat,Bassekou,2UDFkcyY8nmk45kNj6ZSBr,25,-7.353,148.77,201733,0.756,5,0.00808,0.0537,0.964,0.497
afrobeat,Issa,58dkkisoCo4cNhrXcCmNpJ,0,-8.908,134.87,189787,0.285,8,6.56e-06,0.0325,0.435,0.727
afrobeat,Laidu,05CF4ATpqROLTQVYABNZ3W,52,-15.172,99.747,386973,0.269,10,0.0406,0.0365,0.397,0.702
afrobeat,Djelika,6c2msV3o5jfcMiFHe0XWgu,0,-12.51,118.55,432933,0.48,0,0.848,0.0493,0.481,0.672
afrobeat,Calculer,1UMOrnZXqToS3z8aPaSm2R,17,-8.932,119.946,256133,0.89,4,0.0,0.194,0.761,0.79
afrobeat,I dan soko,5WxkQiLOipI0j0WyQa0oaC,8,-6.265,129.979,202413,0.719,2,2.17e-05,0.0688,0.931,0.814
afrobeat,Yellow Fever,27DHghk2tvT7427mDoZwgW,0,-7.116,103.677,920319,0.894,1,0.109,0.165,0.683,0.769
afrobeat,Soukora,5sAsx8AyENsvhtKwmCnm4F,0,-17.312,90.316,365173,0.328,3,0.00107,0.0327,0.695,0.431
afrobeat,Africans,150EtZmRZGAyY5D4khM6tf,36,-3.686,151.58,269080,0.651,1,0.0,0.284,0.772,0.668
afrobeat,M'Bemba,2tH1HP8t8tLGR1eze4ZpQm,0,-9.876,80.004,528765,0.557,5,0.00016,0.0517,0.726,0.649
afrobeat,Dougou Badia - feat. Santigold,6NrxYQ8XG0ahSnBwo2IHK8,0,-5.999,162.927,233358,0.716,9,0.000113,0.036,0.457,0.475
afrobeat,Batoumambe,5nG4Md4WHFP6051O9MuaOO,32,-10.433,111.161,253960,0.746,2,0.228,0.0335,0.834,0.745
afrobeat,Ai Du,7vzhCpNntdmzI3yop3UckE,2,-17.168,151.78,429973,0.225,5,0.0586,0.029,0.408,0.57
afrobeat,Black Man's Cry,4Kvxc17G0EkXbbq4UYwL6a,0,-6.157,166.527,698360,0.882,10,0.0455,0.0926,0.96,0.595
afrobeat,Mole,1L7EfY9OZnNSX24HMn7aI4,0,-12.019,126.483,345107,0.934,7,0.152,0.063,0.963,0.66
afrobeat,Azonto (feat. Tiffany),2ajEyNbeRmncM8TmqlVM7w,0,-3.065,125.973,230035,0.895,6,0.0,0.157,0.961,0.892
afrobeat,Jamm,07zDU6jmVdOoWUqloXPlK5,0,-11.068,159.974,288293,0.667,9,0.144,0.0557,0.903,0.786
afrobeat,Yé Yé Yé,699hD2eiW2hyKWkN8KssnD,15,-9.036,83.264,268693,0.486,2,0.000109,0.0583,0.481,0.33
afrobeat,Ur Waist,03GhB5e1KFoXqbvz25t7Me,0,-0.837,130.002,254189,0.897,5,0.215,0.0805,0.961,0.747
afrobeat,Yègellé Tezeta,6UTg8n7UkdHq77b1ToTVA0,4,-13.539,125.597,194293,0.233,3,0.746,0.0414,0.778,0.839
afrobeat,Kele,0JTefbFPZDuYOv2syMKElS,0,-10.001,189.002,188653,0.57,5,0.0207,0.103,0.335,0.654
afrobeat,Ukwu,4aTVzrK2pUSSlBq0th31oB,0,-5.248,130.111,187951,0.833,1,0.0116,0.195,0.649,0.803
afrobeat,Do Me,25oYvy0IVN12bvid23teLz,41,-2.293,103.045,283347,0.916,10,0.0,0.119,0.964,0.824
afrobeat,Vuli Ndlela - Original Album Version,04p7jtRJdhQUB1UeQsMGBx,30,-4.253,105.973,261800,0.919,5,0.0423,0.0632,0.704,0.776
afrobeat,Folon,4VnalyV6bH9TnuihhDVIRy,24,-12.648,91.383,263707,0.126,5,0.000159,0.029,0.41,0.49
afrobeat,Let's Start,6JtUHAH22sgKdPmwNhAWD3,0,-8.558,101.858,465280,0.852,7,0.114,0.0936,0.746,0.648
afrobeat,Stephie,4bt3LdwzNDdqVCo39j01zR,0,-12.807,120.444,348240,0.652,0,0.0011,0.0492,0.86,0.649
afrobeat,Ai Se Eu Te Pego - Live,4bi73jCM02fMpkI11Lqmfe,2,-4.454,96.051,165853,0.937,11,0.0,0.0699,0.834,0.674
afrobeat,Heaven,4PCW6nxrT9qxet5scL7T1L,0,-7.314,99.512,365680,0.768,9,0.558,0.0521,0.384,0.641
afrobeat,Chop Dat Money - Remix,3GuT26T92ZX1c3lHKLBVzs,23,-5.424,127.01,272126,0.808,5,1.26e-06,0.0864,0.858,0.801
afrobeat,Lanchi Biye with Tilahun Gessesse,4xIni3enaiOidNXyY0aGiu,0,-15.219,90.114,188320,0.194,3,0.0111,0.0657,0.371,0.591
afrobeat,Kon'ko Man,25eUxaEwozlf7Ptfl7eOBm,0,-9.68,122.691,251307,0.847,6,0.0199,0.163,0.602,0.521
afrobeat,Makoun Oumou,21ByD5uzTBkUtI2lb55JUs,0,-9.72,113.973,276213,0.449,10,0.000306,0.0297,0.45,0.712
afrobeat,Sexy Mama,6ailwXIyLrQ79qx46iay42,0,-1.159,129.921,211650,0.968,1,0.00268,0.0797,0.81,0.61
afrobeat,I Wish You Were Here,4AVIdds2A4E4UsZcVU0Uso,6,-7.857,143.994,267120,0.566,7,0.0181,0.0695,0.58,0.796
afrobeat,Seyni,0zhM3UpJc3Sj8ll8Wy12TC,0,-9.716,109.913,297520,0.387,0,0.00362,0.0387,0.921,0.824
afrobeat,Yeke Yeke,6clkTQW6BTwJxLQjH6WBVj,0,-5.479,125.802,236693,0.92,8,0.0108,0.0435,0.585,0.67
afrobeat,méRua,6cVKHuqWtGsrTozOmRGHi5,0,-12.105,108.322,192733,0.333,4,0.592,0.145,0.746,0.846
